"#""pop2023""",pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lng,lat,rank,density
25802,26144,-0.0044,Big Spring,19.108,32.2383,-101.486,big-spring-tx,TX,-101.486,32.2383,128,1350
25511,25109,0.00528,Corsicana,22.985,32.0824,-96.4667,corsicana-tx,TX,-96.4667,32.0824,129,1110
25507,24520,0.01307,Benbrook,10.763,32.6783,-97.4636,benbrook-tx,TX,-97.4636,32.6783,130,2370
25159,25402,-0.00321,Kingsville,13.868,27.5092,-97.861,kingsville-tx,TX,-97.861,27.5092,131,1814
25114,23890,0.01651,Saginaw,7.651,32.8656,-97.3652,saginaw-tx,TX,-97.3652,32.8656,132,3282
25044,24861,0.00244,San Benito,15.793,26.1294,-97.6441,san-benito-tx,TX,-97.6441,26.1294,133,1586
25019,24479,0.00725,Denison,28.575,33.7669,-96.5807,denison-tx,TX,-96.5807,33.7669,134,876
24857,24278,0.00783,Kerrville,21.916,30.0398,-99.1323,kerrville-tx,TX,-99.1323,30.0398,135,1134
24828,22782,0.02824,Pecan Grove,8.323,29.6236,-95.7319,pecan-grove-tx,TX,-95.7319,29.6236,136,2983
24506,23054,0.02015,Belton,20.219,31.0523,-97.4795,belton-tx,TX,-97.4795,31.0523,137,1212
24448,24100,0.00477,Cloverleaf,3.081,29.7898,-95.1763,cloverleaf-tx,TX,-95.1763,29.7898,138,7935
24266,24476,-0.00288,Paris,35.19,33.6689,-95.5466,paris-tx,TX,-95.5466,33.6689,139,690
# I thought Paris was in France!,,,,,,,,,,,,
24231,21894,0.03322,Katy,14.542,29.7909,-95.8407,katy-tx,TX,-95.8407,29.7909,140,1666
24214,22489,0.02432,Horizon City,8.714,31.6796,-106.191,horizon-city-tx,TX,-106.191,31.6796,141,2779
23695,23650,0.00063,Watauga,4.161,32.8718,-97.2515,watauga-tx,TX,-97.2515,32.8718,142,5695
23444,22634,0.01165,Corinth,7.792,33.1447,-97.0708,corinth-tx,TX,-97.0708,33.1447,143,3009
23353,23392,-0.00056,Marshall,29.594,32.5392,-94.3532,marshall-tx,TX,-94.3532,32.5392,144,789
22747,22519,0.00335,Brushy Creek,6.509,30.5126,-97.7377,brushy-creek-tx,TX,-97.7377,30.5126,145,3495
22028,20897,0.01741,Stephenville,11.887,32.2145,-98.2199,stephenville-tx,TX,-98.2199,32.2145,146,1853
22003,21013,0.01523,Murphy,5.683,33.0164,-96.6082,murphy-tx,TX,-96.6082,33.0164,147,3872
21967,20383,0.02463,Portland,11.137,27.8871,-97.3306,portland-tx,TX,-97.3306,27.8871,148,1972
21572,16856,0.0786,Fulshear,11.01,29.6895,-95.8824,fulshear-tx,TX,-95.8824,29.6895,149,1959
21529,19189,0.03759,Lakeway,12.206,30.3548,-97.9853,lakeway-tx,TX,-97.9853,30.3548,150,1764
21498,20847,0.0102,Dickinson,10.116,29.4517,-95.0562,dickinson-tx,TX,-95.0562,29.4517,151,2125
21438,17958,0.0572,Fate,11.846,32.9427,-96.3874,fate-tx,TX,-96.3874,32.9427,152,1810
20654,20159,0.00805,Ennis,32.44,32.326,-96.635,ennis-tx,TX,-96.635,32.326,153,637
20093,17027,0.05359,Princeton,10.1,33.2008,-96.5192,princeton-tx,TX,-96.5192,33.2008,154,1989
20077,19720,0.00596,Universal City,5.57,29.552,-98.3076,universal-city-tx,TX,-98.3076,29.552,155,3604
20064,17850,0.03819,Boerne,11.301,29.784,-98.7279,boerne-tx,TX,-98.7279,29.784,156,1775
19956,18198,0.03025,Alton,7.309,26.2888,-98.3106,alton-tx,TX,-98.3106,26.2888,157,2730
19952,16739,0.05672,Celina,27.925,33.3124,-96.7922,celina-tx,TX,-96.7922,33.3124,158,714
19835,19493,0.00578,Alamo,7.511,26.1811,-98.1177,alamo-tx,TX,-98.1177,26.1811,159,2641
19639,18070,0.02736,Crowley,7.308,32.5765,-97.3593,crowley-tx,TX,-97.3593,32.5765,160,2687
19600,19429,0.00292,Angleton,11.623,29.1718,-95.4293,angleton-tx,TX,-95.4293,29.1718,161,1686
19584,20187,-0.01016,Plainview,13.886,34.1912,-101.723,plainview-tx,TX,-101.723,34.1912,162,1410
19543,19324,0.00375,Orange,22.081,30.1166,-93.7604,orange-tx,TX,-93.7604,30.1166,163,885
19529,18446,0.01883,Seagoville,18.822,32.6534,-96.5451,seagoville-tx,TX,-96.5451,32.6534,164,1038
19491,16896,0.04644,Anna,16.048,33.3473,-96.5503,anna-tx,TX,-96.5503,33.3473,165,1215
19249,18856,0.00685,Nederland,5.924,29.9701,-94.0009,nederland-tx,TX,-94.0009,29.9701,166,3249
19086,18030,0.01879,La Marque,13.929,29.369,-94.9958,la-marque-tx,TX,-94.9958,29.369,167,1370
18941,15830,0.05792,Palmview,2.806,26.2302,-98.3791,palmview-tx,TX,-98.3791,26.2302,168,6750
18914,18269,0.0115,White Settlement,5.037,32.7551,-97.4607,white-settlement-tx,TX,-97.4607,32.7551,169,3755
18733,18862,-0.00229,Brownwood,14.966,31.7129,-98.9771,brownwood-tx,TX,-98.9771,31.7129,170,1252
18493,18544,-0.00092,Palestine,19.422,31.7545,-95.6469,palestine-tx,TX,-95.6469,31.7545,171,952
18196,18061,0.00248,Bay City,9.263,28.9835,-95.9599,bay-city-tx,TX,-95.9599,28.9835,172,1964
17960,17465,0.00927,Terrell,22.742,32.7339,-96.2937,terrell-tx,TX,-96.2937,32.7339,173,790
17864,17369,0.00932,Brenham,12.9,30.1582,-96.3956,brenham-tx,TX,-96.3956,30.1582,174,1385
17811,17394,0.00787,Gainesville,19.303,33.6386,-97.1484,gainesville-tx,TX,-97.1484,33.6386,175,923
17741,16661,0.02071,Addison,4.353,32.9637,-96.8338,addison-tx,TX,-96.8338,32.9637,176,4076
17692,17335,0.00677,Groves,5.173,29.946,-93.9167,groves-tx,TX,-93.9167,29.946,177,3420
17657,17666,-0.00017,Stafford,7.004,29.6257,-95.5657,stafford-tx,TX,-95.5657,29.6257,178,2521
17528,17891,-0.00686,Alice,11.992,27.7556,-98.0658,alice-tx,TX,-98.0658,27.7556,179,1462
17451,15108,0.04685,Buda,6.228,30.0866,-97.8448,buda-tx,TX,-97.8448,30.0866,180,2802
17307,17202,0.00203,Bellaire,3.597,29.704,-95.4609,bellaire-tx,TX,-95.4609,29.704,181,4812
17293,16795,0.00969,Humble,9.764,29.9882,-95.2644,humble-tx,TX,-95.2644,29.9882,182,1771
17181,15819,0.02714,Glenn Heights,7.211,32.5513,-96.8544,glenn-heights-tx,TX,-96.8544,32.5513,183,2383
17097,16797,0.00588,Donna,8.292,26.1611,-98.0389,donna-tx,TX,-98.0389,26.1611,184,2062
16770,16026,0.01501,Hewitt,7.023,31.4535,-97.1953,hewitt-tx,TX,-97.1953,31.4535,185,2388
16664,13901,0.0585,Melissa,11.452,33.2885,-96.5576,melissa-tx,TX,-96.5576,33.2885,186,1455
16591,16267,0.00655,Taylor,18.382,30.5744,-97.424,taylor-tx,TX,-97.424,30.5744,187,903
16576,15781,0.01625,Live Oak,4.756,29.5554,-98.34,live-oak-tx,TX,-98.34,29.5554,188,3485
16528,16867,-0.00679,Pampa,9.02,35.5479,-100.965,pampa-tx,TX,-100.965,35.5479,189,1832
16485,16899,-0.0083,Cinco Ranch,4.311,29.7399,-95.7607,cinco-ranch-tx,TX,-95.7607,29.7399,190,3824
16465,16258,0.00421,Mercedes,11.799,26.1538,-97.9129,mercedes-tx,TX,-97.9129,26.1538,191,1395
16249,16135,0.00234,Gatesville,8.665,31.4412,-97.7466,gatesville-tx,TX,-97.7466,31.4412,192,1875
16238,13652,0.05606,Manor,9.805,30.3742,-97.5418,manor-tx,TX,-97.5418,30.3742,193,1656
16191,16047,0.00297,Mount Pleasant,15.573,33.1612,-94.9724,mount-pleasant-tx,TX,-94.9724,33.1612,194,1040
16151,15899,0.00523,Highland Village,5.532,33.0897,-97.0615,highland-village-tx,TX,-97.0615,33.0897,195,2920
16088,15941,0.00306,Sulphur Springs,20.243,33.1431,-95.6147,sulphur-springs-tx,TX,-95.6147,33.1431,196,795
16038,15999,0.00081,Aldine,7.849,29.9134,-95.3774,aldine-tx,TX,-95.3774,29.9134,197,2043
15904,16153,-0.00519,South Houston,3.046,29.661,-95.2284,south-houston-tx,TX,-95.2284,29.661,198,5221
15761,15317,0.00948,Rio Grande City,11.351,26.381,-98.8215,rio-grande-city-tx,TX,-98.8215,26.381,199,1389
15386,13688,0.03819,Trophy Club,3.945,33.0012,-97.1957,trophy-club-tx,TX,-97.1957,33.0012,200,3900
15295,14836,0.0101,Canyon,7.057,34.9936,-101.912,canyon-tx,TX,-101.912,34.9936,201,2167
15257,14222,0.02314,Red Oak,15.552,32.5096,-96.784,red-oak-tx,TX,-96.784,32.5096,202,981
15058,15217,-0.00351,Uvalde,7.664,29.2152,-99.7772,uvalde-tx,TX,-99.7772,29.2152,203,1965
15006,14955,0.00113,West University Place,2.004,29.7154,-95.4316,west-university-place-tx,TX,-95.4316,29.7154,204,7488
14883,14379,0.01142,Lockhart,15.614,29.8788,-97.6833,lockhart-tx,TX,-97.6833,29.8788,205,953
14852,14972,-0.00269,Hereford,6.138,34.8232,-102.4,hereford-tx,TX,-102.4,34.8232,206,2420
14795,13964,0.01908,Hidalgo,8.347,26.1089,-98.2462,hidalgo-tx,TX,-98.2462,26.1089,207,1772
14756,13508,0.02901,Royse City,18.295,32.9797,-96.3164,royse-city-tx,TX,-96.3164,32.9797,208,807
14564,14000,0.01308,Wells Branch,2.43,30.4435,-97.68,wells-branch-tx,TX,-97.68,30.4435,209,5993
14444,14501,-0.00131,Dumas,5.525,35.862,-101.965,dumas-tx,TX,-101.965,35.862,210,2614
14435,13955,0.01121,Forest Hill,4.171,32.6619,-97.2662,forest-hill-tx,TX,-97.2662,32.6619,211,3461
14229,14820,-0.01366,Mineral Wells,20.399,32.8235,-98.0788,mineral-wells-tx,TX,-98.0788,32.8235,212,698
14207,13487,0.01718,Andrews,6.95,32.3213,-102.552,andrews-tx,TX,-102.552,32.3213,213,2044
14158,12916,0.03012,Pecos,7.307,31.4046,-103.506,pecos-tx,TX,-103.506,31.4046,214,1938
14119,13618,0.01197,Seabrook,5.327,29.593,-94.9934,seabrook-tx,TX,-94.9934,29.593,215,2650
14095,13369,0.01747,Azle,8.792,32.8955,-97.5392,azle-tx,TX,-97.5392,32.8955,216,1603
14037,13554,0.0116,Lumberton,13.41,30.255,-94.208,lumberton-tx,TX,-94.208,30.255,217,1047
13912,13669,0.00586,Beeville,6.173,28.4059,-97.7494,beeville-tx,TX,-97.7494,28.4059,218,2254
13887,13692,0.0047,Port Neches,8.63,29.9899,-93.9825,port-neches-tx,TX,-93.9825,29.9899,219,1609
13832,13997,-0.00396,Jacksonville,14.191,31.9651,-95.2621,jacksonville-tx,TX,-95.2621,31.9651,220,975
13827,13533,0.00714,Rendon,24.699,32.5797,-97.2365,rendon-tx,TX,-97.2365,32.5797,221,560
13782,12168,0.04062,Hornsby Bend,1.705,30.245,-97.5833,hornsby-bend-tx,TX,-97.5833,30.245,222,8083
13496,13376,0.00297,Kilgore,18.564,32.3967,-94.86,kilgore-tx,TX,-94.86,32.3967,223,727
13139,13271,-0.00334,Henderson,11.951,32.1573,-94.7959,henderson-tx,TX,-94.7959,32.1573,224,1099
13129,12499,0.01626,Webster,6.392,29.5321,-95.1165,webster-tx,TX,-95.1165,29.5321,225,2054
13022,12443,0.01504,Robinson,31.23,31.4515,-97.1229,robinson-tx,TX,-97.1229,31.4515,226,417
12902,12857,0.00116,Athens,17.833,32.2026,-95.8308,athens-tx,TX,-95.8308,32.2026,227,723
12888,12735,0.00397,Santa Fe,17.397,29.3876,-95.1015,santa-fe-tx,TX,-95.1015,29.3876,228,741
12818,12341,0.01256,Tomball,13,30.0951,-95.6197,tomball-tx,TX,-95.6197,30.0951,229,986
12575,12350,0.006,El Campo,9.763,29.1987,-96.2722,el-campo-tx,TX,-96.2722,29.1987,230,1288
12575,10952,0.04496,Selma,5.036,29.5865,-98.3153,selma-tx,TX,-98.3153,29.5865,231,2497
12385,12652,-0.00713,Levelland,10.207,33.5815,-102.364,levelland-tx,TX,-102.364,33.5815,232,1213
12341,12551,-0.00564,Borger,8.788,35.6594,-101.402,borger-tx,TX,-101.402,35.6594,233,1404
12108,10458,0.04759,Scenic Oaks,7.854,29.7039,-98.6677,scenic-oaks-tx,TX,-98.6677,29.7039,234,1542
12101,11561,0.0151,Roma,5.865,26.4147,-99.0039,roma-tx,TX,-99.0039,26.4147,235,2063
12061,11260,0.02264,Fort Bliss,6.217,31.8137,-106.412,fort-bliss-tx,TX,-106.412,31.8137,236,1940
12019,12103,-0.00232,Four Corners,2.51,29.6703,-95.66,four-corners-tx,TX,-95.66,29.6703,237,4788
11959,11542,0.01176,Leon Valley,3.468,29.4954,-98.6143,leon-valley-tx,TX,-98.6143,29.4954,238,3448
